event_name,date,latitude,longitude,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,elevation_m,river_discharge_m3s,flood_occurred
Assam_Brahmaputra_2022,2022-06-21,26.14,91.74,3.7,29.9,23.5,97,7.6,10.0,3.39,55.0,5.34,1
Assam_Floods_2023,2023-07-01,26.2,91.75,23.4,31.0,24.9,98,10.6,11.0,2.98,45.0,32582.67,1
Assam_Floods_2023,2023-07-02,26.2,91.75,22.3,30.2,25.0,98,8.5,10.0,2.84,45.0,32733.06,1
Assam_Floods_2023,2023-07-03,26.2,91.75,23.6,29.9,25.3,99,10.4,16.0,1.57,45.0,33112.11,1
Assam_Floods_2023,2023-07-04,26.2,91.75,6.3,31.5,25.5,100,13.0,11.0,3.61,45.0,34196.94,1
Assam_Floods_2023,2023-07-05,26.2,91.75,36.3,32.7,25.8,100,8.2,17.0,4.25,45.0,36727.23,1
Mumbai_2005,2005-07-26,19.07,72.88,69.6,26.3,25.5,94,27.8,24.0,1.05,9.0,8.64,1
Mumbai_2005,2005-07-27,19.07,72.88,59.4,26.4,25.5,94,24.8,24.0,1.23,9.0,10.94,1
Mumbai_2005,2005-07-28,19.07,72.88,45.0,26.9,25.3,94,25.4,24.0,1.77,9.0,9.19,1
Mumbai_2005,2005-07-29,19.07,72.88,32.7,25.6,25.0,94,26.9,24.0,1.39,9.0,9.12,1
Mumbai_2005,2005-07-30,19.07,72.88,42.2,27.1,25.4,93,28.1,24.0,2.61,9.0,9.45,1
Mumbai_2019,2019-07-01,19.08,72.87,36.6,26.8,25.4,96,15.5,24.0,1.22,9.0,8.46,1
Mumbai_2019,2019-07-02,19.08,72.87,26.3,28.1,25.6,94,18.8,23.0,2.24,9.0,7.22,1
Mumbai_2019,2019-07-03,19.08,72.87,15.2,27.4,25.6,95,17.8,24.0,1.54,9.0,5.75,1
Mumbai_2019,2019-07-04,19.08,72.87,21.5,27.7,26.0,94,21.5,24.0,2.33,9.0,5.5,1
Mumbai_2019,2019-07-05,19.08,72.87,15.9,27.8,25.8,95,24.6,24.0,2.3,9.0,5.44,1
Chennai_2015,2015-11-01,13.08,80.27,18.8,29.9,24.4,96,14.0,24.0,2.05,10.0,,1
Chennai_2015,2015-11-02,13.08,80.27,5.8,28.5,23.9,97,10.5,10.0,2.08,10.0,,1
Chennai_2015,2015-11-03,13.08,80.27,10.3,30.3,24.0,96,10.5,12.0,3.37,10.0,,1
Chennai_2015,2015-11-04,13.08,80.27,6.9,30.6,24.9,96,13.3,15.0,3.67,10.0,,1
Chennai_2015,2015-11-05,13.08,80.27,2.7,29.5,24.1,96,11.4,10.0,3.43,10.0,,1
Odisha_Cyclone_2021,2021-10-25,20.29,85.82,0.0,30.6,20.5,96,8.7,0.0,4.16,54.0,5.4,1
Odisha_Cyclone_2021,2021-10-26,20.29,85.82,0.1,30.0,22.1,96,15.2,1.0,3.81,54.0,4.97,1
Odisha_Cyclone_2021,2021-10-27,20.29,85.82,0.1,30.6,23.1,94,21.9,1.0,4.03,54.0,4.6,1
Odisha_Cyclone_2021,2021-10-28,20.29,85.82,0.0,30.2,23.5,96,22.0,0.0,3.6,54.0,4.27,1
Odisha_Cyclone_2021,2021-10-29,20.29,85.82,8.2,29.1,23.3,98,17.8,15.0,2.07,54.0,3.97,1
Odisha_Floods_2023,2023-08-15,20.1,85.7,8.2,33.2,26.5,93,14.5,7.0,4.07,10.0,1.48,1
Odisha_Floods_2023,2023-08-16,20.1,85.7,14.2,32.5,26.3,93,12.1,6.0,3.38,10.0,1.42,1
Odisha_Floods_2023,2023-08-17,20.1,85.7,17.7,28.6,26.2,97,11.6,16.0,1.67,10.0,1.37,1
Odisha_Floods_2023,2023-08-18,20.1,85.7,18.0,28.5,25.1,97,13.0,16.0,1.45,10.0,1.4,1
Odisha_Floods_2023,2023-08-19,20.1,85.7,1.3,31.5,25.0,97,19.2,9.0,4.65,10.0,1.38,1
Uttarakhand_2021,2021-10-17,30.07,79.4,2.1,19.1,8.4,87,7.0,8.0,2.06,2419.0,59.39,1
Uttarakhand_2021,2021-10-18,30.07,79.4,125.9,11.1,9.5,100,6.0,24.0,0.36,2419.0,116.76,1
Uttarakhand_2021,2021-10-19,30.07,79.4,94.5,12.1,8.6,99,8.3,18.0,0.64,2419.0,111.2,1
Uttarakhand_2021,2021-10-20,30.07,79.4,0.4,17.5,8.3,100,8.3,2.0,2.7,2419.0,120.62,1
Uttarakhand_2021,2021-10-21,30.07,79.4,0.1,17.7,6.5,100,5.8,1.0,2.85,2419.0,114.35,1
Uttarakhand_2022,2022-10-18,30.1,79.45,0.3,20.0,10.3,89,6.6,1.0,2.92,1600.0,101.33,1
Uttarakhand_2022,2022-10-19,30.1,79.45,0.9,18.4,8.9,87,7.1,4.0,2.8,1600.0,97.17,1
Uttarakhand_2022,2022-10-20,30.1,79.45,0.3,18.6,8.2,83,7.6,3.0,2.85,1600.0,93.19,1
Uttarakhand_2022,2022-10-21,30.1,79.45,0.0,20.7,8.0,80,8.0,0.0,3.21,1600.0,89.57,1
Uttarakhand_2022,2022-10-22,30.1,79.45,0.1,19.8,7.9,74,10.0,1.0,3.26,1600.0,86.3,1
Sikkim_Flash_2023,2023-10-03,27.33,88.61,13.7,21.8,16.1,98,5.4,14.0,1.72,1551.0,2.58,1
Sikkim_Flash_2023,2023-10-04,27.33,88.61,27.7,18.5,15.3,100,5.1,23.0,0.81,1551.0,2.85,1
Sikkim_Flash_2023,2023-10-05,27.33,88.61,3.2,20.9,15.9,100,7.1,11.0,2.08,1551.0,3.4,1
Sikkim_Flash_2023,2023-10-06,27.33,88.61,9.2,21.2,15.2,99,5.8,11.0,2.18,1551.0,3.45,1
Sikkim_Flash_2023,2023-10-07,27.33,88.61,28.6,22.0,15.1,100,6.6,17.0,3.06,1551.0,3.12,1
Rajasthan_2022,2022-08-11,26.92,75.79,2.0,30.0,25.9,83,34.6,11.0,4.0,438.0,0.95,1
Rajasthan_2022,2022-08-12,26.92,75.79,5.4,29.0,24.5,94,24.3,16.0,3.46,438.0,0.97,1
Rajasthan_2022,2022-08-13,26.92,75.79,10.5,30.2,23.6,99,17.1,20.0,3.72,438.0,2.21,1
Rajasthan_2022,2022-08-14,26.92,75.79,2.9,30.6,24.3,94,15.8,9.0,3.09,438.0,1.53,1
Rajasthan_2022,2022-08-15,26.92,75.79,5.9,29.7,23.6,97,18.6,15.0,3.49,438.0,1.88,1
Jammu_2023,2023-07-08,32.73,74.87,29.7,27.8,24.0,97,14.8,14.0,1.89,360.0,0.85,1
Jammu_2023,2023-07-09,32.73,74.87,0.0,31.0,22.9,99,14.8,0.0,4.25,360.0,1.03,1
Jammu_2023,2023-07-10,32.73,74.87,1.6,31.5,22.8,95,9.3,3.0,4.91,360.0,0.69,1
Jammu_2023,2023-07-11,32.73,74.87,0.0,33.9,24.0,97,10.1,0.0,4.97,360.0,0.56,1
Jammu_2023,2023-07-12,32.73,74.87,2.7,33.2,24.1,90,18.5,2.0,5.08,360.0,0.58,1
Himachal_Pradesh_2023,2023-08-14,31.1,77.17,51.0,18.9,16.7,100,7.0,24.0,1.01,1940.0,1.65,1
Himachal_Pradesh_2023,2023-08-15,31.1,77.17,1.2,22.7,15.6,100,12.4,8.0,3.8,1940.0,1.7,1
Himachal_Pradesh_2023,2023-08-16,31.1,77.17,0.9,23.0,14.4,100,14.3,7.0,4.08,1940.0,1.78,1
Himachal_Pradesh_2023,2023-08-17,31.1,77.17,2.1,22.5,14.9,100,16.3,8.0,3.9,1940.0,1.85,1
Himachal_Pradesh_2023,2023-08-18,31.1,77.17,4.4,23.8,14.8,100,9.3,6.0,4.01,1940.0,1.77,1
Gujarat_Morbi_2022,2022-10-29,22.81,70.83,0.0,35.2,22.4,57,10.8,0.0,5.33,47.0,0.21,1
Gujarat_Morbi_2022,2022-10-30,22.81,70.83,0.0,35.2,22.6,59,10.0,0.0,5.19,47.0,0.21,1
Gujarat_Morbi_2022,2022-10-31,22.81,70.83,0.0,34.8,22.0,57,15.5,0.0,5.72,47.0,0.21,1
Gujarat_Morbi_2022,2022-11-01,22.81,70.83,0.0,34.5,22.5,48,12.2,0.0,5.22,47.0,0.21,1
Gujarat_Morbi_2022,2022-11-02,22.81,70.83,0.0,34.8,22.0,60,12.7,0.0,5.3,47.0,0.2,1
Gujarat_Floods_2023,2023-09-03,23.02,72.57,0.5,34.3,26.7,76,13.0,4.0,5.53,53.0,1.26,1
Gujarat_Floods_2023,2023-09-04,23.02,72.57,0.0,34.5,26.4,73,12.2,0.0,5.63,53.0,1.23,1
Gujarat_Floods_2023,2023-09-05,23.02,72.57,0.0,35.8,26.1,80,15.1,0.0,6.07,53.0,1.2,1
Gujarat_Floods_2023,2023-09-06,23.02,72.57,1.8,36.7,26.8,89,21.0,4.0,6.49,53.0,1.19,1
Gujarat_Floods_2023,2023-09-07,23.02,72.57,5.6,36.0,25.7,95,18.3,7.0,4.85,53.0,1.26,1
West_Bengal_2021,2021-07-27,22.57,88.36,25.3,31.6,26.5,94,15.5,20.0,2.78,12.0,38.17,1
West_Bengal_2021,2021-07-28,22.57,88.36,52.7,29.9,25.6,96,20.9,19.0,1.99,12.0,52.7,1
West_Bengal_2021,2021-07-29,22.57,88.36,70.2,29.3,25.8,96,24.5,20.0,1.83,12.0,118.67,1
West_Bengal_2021,2021-07-30,22.57,88.36,34.5,29.5,25.7,95,22.4,15.0,2.34,12.0,101.8,1
West_Bengal_2021,2021-07-31,22.57,88.36,0.6,31.1,26.7,90,17.1,5.0,3.88,12.0,69.96,1
Andhra_Krishna_2022,2022-09-19,16.51,80.62,6.4,29.0,25.8,91,13.5,14.0,1.91,26.0,46.21,1
Andhra_Krishna_2022,2022-09-20,16.51,80.62,0.8,30.4,24.6,92,18.1,4.0,3.03,26.0,45.24,1
Andhra_Krishna_2022,2022-09-21,16.51,80.62,0.1,32.5,25.0,90,13.8,1.0,4.9,26.0,43.77,1
Andhra_Krishna_2022,2022-09-22,16.51,80.62,4.7,30.9,25.5,94,16.9,10.0,2.63,26.0,41.85,1
Andhra_Krishna_2022,2022-09-23,16.51,80.62,0.6,32.0,24.6,95,15.5,2.0,4.48,26.0,40.3,1
Telangana_2022,2022-10-12,17.38,78.49,11.8,29.1,21.6,99,10.5,16.0,3.63,491.0,44.92,1
Telangana_2022,2022-10-13,17.38,78.49,3.8,29.0,21.0,99,8.0,10.0,3.76,491.0,53.7,1
Telangana_2022,2022-10-14,17.38,78.49,2.0,28.0,21.0,99,12.6,9.0,2.5,491.0,48.43,1
Telangana_2022,2022-10-15,17.38,78.49,5.0,26.8,20.9,99,15.5,15.0,2.67,491.0,61.23,1
Telangana_2022,2022-10-16,17.38,78.49,6.0,26.7,20.9,99,15.3,11.0,2.2,491.0,64.46,1
Punjab_Floods_2023,2023-07-14,30.9,75.85,0.8,33.1,25.8,96,11.8,5.0,4.4,250.0,13.16,1
Punjab_Floods_2023,2023-07-15,30.9,75.85,3.1,33.8,25.7,99,13.2,4.0,4.67,250.0,12.4,1
Punjab_Floods_2023,2023-07-16,30.9,75.85,21.2,32.0,25.8,96,15.9,17.0,3.39,250.0,11.85,1
Punjab_Floods_2023,2023-07-17,30.9,75.85,4.7,33.5,26.0,98,10.2,5.0,4.27,250.0,10.94,1
Punjab_Floods_2023,2023-07-18,30.9,75.85,0.9,32.0,26.5,98,15.0,7.0,3.98,250.0,9.62,1
Manipur_2023,2023-08-26,24.82,93.95,12.9,26.6,21.8,99,9.6,15.0,2.29,781.0,15.41,1
Manipur_2023,2023-08-27,24.82,93.95,0.7,28.6,21.2,100,12.6,6.0,4.53,781.0,22.33,1
Manipur_2023,2023-08-28,24.82,93.95,0.3,28.5,20.6,100,13.1,2.0,4.21,781.0,20.88,1
Manipur_2023,2023-08-29,24.82,93.95,0.0,29.9,20.0,99,9.0,0.0,4.91,781.0,20.43,1
Manipur_2023,2023-08-30,24.82,93.95,15.3,30.1,20.7,98,7.7,11.0,4.56,781.0,18.95,1
Tripura_2024,2024-08-20,23.83,91.28,20.0,28.0,25.0,97,17.4,24.0,1.5,12.0,20.38,1
Tripura_2024,2024-08-21,23.83,91.28,40.3,27.2,24.5,98,20.6,24.0,1.31,12.0,20.68,1
Tripura_2024,2024-08-22,23.83,91.28,18.9,28.8,24.9,98,15.7,21.0,1.7,12.0,21.44,1
Tripura_2024,2024-08-23,23.83,91.28,9.3,30.9,25.2,96,17.2,14.0,2.55,12.0,20.09,1
Tripura_2024,2024-08-24,23.83,91.28,7.7,31.5,24.6,96,16.1,13.0,4.11,12.0,20.93,1
Pakistan_Sindh_2022,2022-08-25,27.53,68.47,10.4,29.1,25.1,98,16.3,17.0,1.92,54.0,1.9,1
Pakistan_Sindh_2022,2022-08-26,27.53,68.47,2.6,31.1,24.3,97,16.6,4.0,3.19,54.0,1.58,1
Pakistan_Sindh_2022,2022-08-27,27.53,68.47,0.4,31.4,25.0,95,10.1,1.0,4.12,54.0,1.39,1
Pakistan_Sindh_2022,2022-08-28,27.53,68.47,0.0,32.8,25.5,90,9.0,0.0,4.67,54.0,1.12,1
Pakistan_Sindh_2022,2022-08-29,27.53,68.47,0.2,33.3,26.1,89,10.5,2.0,4.67,54.0,0.92,1
Pakistan_Balochistan_2022,2022-08-20,29.01,66.97,13.6,23.4,19.5,87,7.3,10.0,2.85,1549.0,3.19,1
Pakistan_Balochistan_2022,2022-08-21,29.01,66.97,36.6,22.2,19.3,99,5.0,19.0,1.41,1549.0,0.85,1
Pakistan_Balochistan_2022,2022-08-22,29.01,66.97,0.5,26.2,18.9,100,5.4,2.0,5.04,1549.0,11.36,1
Pakistan_Balochistan_2022,2022-08-23,29.01,66.97,0.3,24.6,19.1,86,7.9,1.0,3.57,1549.0,2.28,1
Pakistan_Balochistan_2022,2022-08-24,29.01,66.97,26.4,24.3,19.3,93,7.1,19.0,2.54,1549.0,0.67,1
Bangladesh_Sylhet_2022,2022-06-16,24.9,91.87,71.0,25.8,23.5,99,15.5,24.0,1.02,22.0,6.21,1
Bangladesh_Sylhet_2022,2022-06-17,24.9,91.87,64.8,26.1,24.1,97,23.7,24.0,0.93,22.0,6.78,1
Bangladesh_Sylhet_2022,2022-06-18,24.9,91.87,69.4,26.2,23.7,98,16.3,24.0,1.07,22.0,7.38,1
Bangladesh_Sylhet_2022,2022-06-19,24.9,91.87,44.1,28.5,23.4,99,17.9,24.0,2.04,22.0,7.15,1
Bangladesh_Sylhet_2022,2022-06-20,24.9,91.87,39.4,29.1,23.5,98,12.6,24.0,2.41,22.0,6.96,1
Bangladesh_Floods_2023,2023-08-06,24.0,90.5,47.8,29.8,25.5,99,18.9,24.0,2.24,4.0,2.89,1
Bangladesh_Floods_2023,2023-08-07,24.0,90.5,48.9,28.0,25.5,98,14.2,24.0,1.01,4.0,4.01,1
Bangladesh_Floods_2023,2023-08-08,24.0,90.5,47.6,30.0,25.4,98,15.4,22.0,1.74,4.0,6.14,1
Bangladesh_Floods_2023,2023-08-09,24.0,90.5,1.5,32.7,25.2,97,15.5,8.0,4.2,4.0,5.24,1
Bangladesh_Floods_2023,2023-08-10,24.0,90.5,4.7,32.8,25.5,98,12.8,8.0,3.94,4.0,3.54,1
Nigeria_Anambra_2022,2022-10-04,6.21,6.69,1.9,31.0,22.3,99,10.5,6.0,4.15,47.0,27226.01,1
Nigeria_Anambra_2022,2022-10-05,6.21,6.69,5.2,31.0,22.9,98,12.7,7.0,3.99,47.0,26545.04,1
Nigeria_Anambra_2022,2022-10-06,6.21,6.69,14.5,28.6,23.0,98,14.3,16.0,2.24,47.0,25526.02,1
Nigeria_Anambra_2022,2022-10-07,6.21,6.69,15.9,26.9,22.5,98,14.3,17.0,1.74,47.0,24602.66,1
Nigeria_Anambra_2022,2022-10-08,6.21,6.69,13.7,31.0,23.0,98,8.0,13.0,3.27,47.0,24098.05,1
Germany_Ahr_2021,2021-07-14,50.54,6.95,59.9,17.0,14.6,100,17.7,21.0,0.64,405.0,246.17,1
Germany_Ahr_2021,2021-07-15,50.54,6.95,2.2,20.1,11.8,100,14.3,9.0,2.04,405.0,126.64,1
Germany_Ahr_2021,2021-07-16,50.54,6.95,7.3,16.9,14.4,100,18.9,15.0,1.57,405.0,64.01,1
Germany_Ahr_2021,2021-07-17,50.54,6.95,0.0,22.0,13.7,99,18.7,0.0,3.15,405.0,40.59,1
Germany_Ahr_2021,2021-07-18,50.54,6.95,0.0,22.5,13.8,100,18.3,0.0,4.45,405.0,29.76,1
China_Henan_2021,2021-07-20,34.75,113.65,134.6,25.8,23.0,98,22.8,24.0,0.73,105.0,64.16,1
China_Henan_2021,2021-07-21,34.75,113.65,101.3,27.3,23.3,98,17.4,24.0,1.42,105.0,51.84,1
China_Henan_2021,2021-07-22,34.75,113.65,10.7,29.2,22.6,98,18.6,17.0,2.67,105.0,18.45,1
China_Henan_2021,2021-07-23,34.75,113.65,13.1,28.4,21.8,95,13.0,15.0,2.91,105.0,11.19,1
China_Henan_2021,2021-07-24,34.75,113.65,5.2,30.6,22.6,97,8.4,12.0,3.94,105.0,6.62,1
China_Guangdong_2022,2022-06-12,23.13,113.26,39.2,29.5,24.5,99,17.8,18.0,2.25,21.0,25.3,1
China_Guangdong_2022,2022-06-13,23.13,113.26,23.0,30.8,24.5,99,21.0,19.0,2.79,21.0,27.38,1
China_Guangdong_2022,2022-06-14,23.13,113.26,44.2,26.9,24.0,98,18.4,24.0,1.31,21.0,29.34,1
China_Guangdong_2022,2022-06-15,23.13,113.26,39.1,30.8,23.4,96,13.7,21.0,2.97,21.0,29.76,1
China_Guangdong_2022,2022-06-16,23.13,113.26,33.2,30.8,23.4,98,19.8,22.0,3.47,21.0,25.73,1
USA_Kentucky_2022,2022-07-28,37.33,-83.17,17.9,29.9,20.9,100,17.8,9.0,4.27,447.0,0.97,1
USA_Kentucky_2022,2022-07-29,37.33,-83.17,8.2,25.9,21.5,100,10.7,13.0,2.27,447.0,1.08,1
USA_Kentucky_2022,2022-07-30,37.33,-83.17,0.0,27.2,18.7,93,10.4,0.0,4.29,447.0,1.08,1
USA_Kentucky_2022,2022-07-31,37.33,-83.17,15.9,24.5,18.7,97,14.3,13.0,2.06,447.0,1.2,1
USA_Kentucky_2022,2022-08-01,37.33,-83.17,3.0,29.4,20.3,98,17.7,10.0,4.31,447.0,1.2,1
USA_Vermont_2023,2023-07-10,44.26,-72.58,77.4,20.6,18.2,100,14.9,24.0,0.61,164.0,0.67,1
USA_Vermont_2023,2023-07-11,44.26,-72.58,3.4,27.9,17.1,100,8.9,8.0,4.21,164.0,1.31,1
USA_Vermont_2023,2023-07-12,44.26,-72.58,2.2,26.4,16.3,100,12.6,6.0,4.1,164.0,1.33,1
USA_Vermont_2023,2023-07-13,44.26,-72.58,8.2,27.8,16.0,100,21.1,9.0,3.46,164.0,1.28,1
USA_Vermont_2023,2023-07-14,44.26,-72.58,3.8,26.6,14.9,100,10.6,6.0,4.27,164.0,1.26,1
Australia_NSW_2022,2022-02-26,-30.33,153.12,13.4,24.7,19.9,100,17.2,20.0,2.04,11.0,,1
Australia_NSW_2022,2022-02-27,-30.33,153.12,99.8,22.0,19.8,100,15.7,24.0,0.52,11.0,,1
Australia_NSW_2022,2022-02-28,-30.33,153.12,200.6,21.5,19.7,100,20.8,24.0,0.4,11.0,,1
Australia_NSW_2022,2022-03-01,-30.33,153.12,31.2,24.1,20.2,100,13.3,24.0,2.0,11.0,,1
Australia_NSW_2022,2022-03-02,-30.33,153.12,8.7,24.5,20.0,100,22.4,10.0,2.99,11.0,,1
Australia_QLD_2022,2022-02-26,-27.47,153.02,166.5,22.5,20.2,96,20.2,24.0,0.69,14.0,5860.38,1
Australia_QLD_2022,2022-02-27,-27.47,153.02,113.0,23.0,20.7,99,25.7,24.0,1.1,14.0,7260.06,1
Australia_QLD_2022,2022-02-28,-27.47,153.02,5.8,27.8,19.5,99,13.3,10.0,3.39,14.0,4818.48,1
Australia_QLD_2022,2022-03-01,-27.47,153.02,7.2,28.5,21.1,99,12.5,10.0,4.0,14.0,2836.92,1
Australia_QLD_2022,2022-03-02,-27.47,153.02,1.9,30.2,20.4,99,15.1,5.0,4.45,14.0,1797.87,1
Indonesia_Sumatra_2022,2022-10-30,-2.1,104.75,9.4,30.4,23.1,98,9.2,14.0,3.52,8.0,4.69,1
Indonesia_Sumatra_2022,2022-10-31,-2.1,104.75,19.7,29.4,23.0,99,9.6,11.0,2.6,8.0,4.64,1
Indonesia_Sumatra_2022,2022-11-01,-2.1,104.75,11.2,29.4,23.4,97,10.1,9.0,3.73,8.0,5.19,1
Indonesia_Sumatra_2022,2022-11-02,-2.1,104.75,4.0,31.1,23.8,98,8.2,5.0,4.31,8.0,4.92,1
Indonesia_Sumatra_2022,2022-11-03,-2.1,104.75,21.8,30.6,23.5,100,13.3,13.0,3.62,8.0,4.68,1
Brazil_Petropolis_2022,2022-02-15,-22.51,-43.18,6.5,24.7,18.5,99,10.8,11.0,3.99,846.0,1.89,1
Brazil_Petropolis_2022,2022-02-16,-22.51,-43.18,6.0,23.4,16.3,99,7.8,11.0,4.09,846.0,1.86,1
Brazil_Petropolis_2022,2022-02-17,-22.51,-43.18,15.1,25.6,16.3,97,7.1,8.0,4.43,846.0,1.82,1
Brazil_Petropolis_2022,2022-02-18,-22.51,-43.18,27.6,20.7,17.6,100,5.2,24.0,1.46,846.0,7.13,1
Brazil_Petropolis_2022,2022-02-19,-22.51,-43.18,24.9,22.2,16.5,99,7.6,16.0,2.73,846.0,4.56,1
South_Africa_KZN_2022,2022-04-11,-29.85,31.0,100.7,20.7,17.2,94,24.2,24.0,0.6,81.0,246.74,1
South_Africa_KZN_2022,2022-04-12,-29.85,31.0,21.6,26.1,19.0,95,34.0,13.0,3.18,81.0,132.97,1
South_Africa_KZN_2022,2022-04-13,-29.85,31.0,12.2,25.2,16.6,93,23.7,5.0,2.29,81.0,59.26,1
South_Africa_KZN_2022,2022-04-14,-29.85,31.0,0.0,25.8,17.5,95,10.7,0.0,3.31,81.0,33.91,1
South_Africa_KZN_2022,2022-04-15,-29.85,31.0,0.3,25.1,17.5,95,35.3,2.0,3.12,81.0,25.3,1
Philippines_2022,2022-09-26,14.1,121.56,12.1,25.6,21.4,100,13.0,19.0,2.74,468.0,2.48,1
Philippines_2022,2022-09-27,14.1,121.56,30.1,24.9,21.9,100,12.8,23.0,2.35,468.0,3.11,1
Philippines_2022,2022-09-28,14.1,121.56,12.0,26.1,20.8,99,5.9,10.0,2.33,468.0,3.22,1
Philippines_2022,2022-09-29,14.1,121.56,11.2,26.9,20.5,100,8.5,14.0,3.08,468.0,3.13,1
Philippines_2022,2022-09-30,14.1,121.56,15.6,24.9,20.5,100,10.5,17.0,2.47,468.0,2.99,1
Nepal_Koshi_2023,2023-10-04,26.91,87.17,15.3,28.3,23.7,94,7.7,15.0,1.65,291.0,486.53,1
Nepal_Koshi_2023,2023-10-05,26.91,87.17,1.3,29.3,22.4,96,13.6,10.0,2.81,291.0,484.29,1
Nepal_Koshi_2023,2023-10-06,26.91,87.17,6.6,28.9,23.6,93,5.8,10.0,3.14,291.0,471.06,1
Nepal_Koshi_2023,2023-10-07,26.91,87.17,1.4,28.6,24.0,94,5.0,3.0,2.43,291.0,458.2,1
Nepal_Koshi_2023,2023-10-08,26.91,87.17,5.7,29.1,23.3,96,7.0,13.0,3.24,291.0,444.66,1
Afghanistan_2024,2024-05-10,33.0,68.5,3.1,18.9,10.1,86,21.3,2.0,4.47,2303.0,0.08,1
Afghanistan_2024,2024-05-11,33.0,68.5,0.1,19.1,8.0,95,36.8,1.0,5.32,2303.0,0.06,1
Afghanistan_2024,2024-05-12,33.0,68.5,0.0,18.6,7.8,59,18.8,0.0,5.33,2303.0,0.05,1
Afghanistan_2024,2024-05-13,33.0,68.5,0.0,19.0,10.1,65,15.7,0.0,5.29,2303.0,0.03,1
Afghanistan_2024,2024-05-14,33.0,68.5,0.0,21.5,11.1,60,15.2,0.0,5.78,2303.0,0.02,1
Canada_BC_2021,2021-11-14,49.1,-121.95,91.8,11.7,6.3,100,10.0,24.0,0.17,148.0,6.78,1
Canada_BC_2021,2021-11-15,49.1,-121.95,48.4,13.0,3.2,100,24.6,22.0,0.26,148.0,9.57,1
Canada_BC_2021,2021-11-16,49.1,-121.95,8.3,5.9,-0.4,92,13.8,13.0,0.6,148.0,5.9,1
